Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto
ABHE BAD (also ABHE BID HAYK),0.19014113,0.383521,0.19014105,0.3835208,2
ACARAU,0.16416575,0.27197915,0.16416574,0.2719791,2
AISEN,0.13529402,0.25445247,0.13529392,0.2544524,1
ALAKOL,0.17996867,0.29861066,0.17996871,0.29861063,1
ALAZEYA,0.18503495,0.37380666,0.18503493,0.37380683,1
ALBANY,0.15750727,0.32218948,0.15750723,0.32218933,2
ALSEK,0.1817423,0.26627183,0.18174227,0.2662719,2
ALTAMAHA,0.19373237,0.25866544,0.19373238,0.25866538,5
AMACURO (also AMAKURA),0.14988719,0.24558622,0.1498872,0.24558622,3
AMAZON (also AMAZONAS),0.22654438,0.4849344,0.22654377,0.4849346,2
AMUR,0.3024036,0.39539456,0.3024034,0.39539415,1
ANABAR,0.32119015,0.42598382,0.32118988,0.4259833,1
ANADYR,0.18855256,0.28025153,0.1885525,0.28025147,2
ANDERSON,0.1680908,0.29785368,0.16809078,0.29785365,3
ANGERMANALVEN,0.15741663,0.248259,0.15741655,0.24825893,1
APALACHICOLA,0.22315153,0.2951587,0.22315153,0.29515865,2
ARAGUARI,0.2514909,0.26235044,0.25149065,0.2623504,1
ARAL SEA,0.20347443,0.35823983,0.20347431,0.35823965,1
ARMERIA,0.17675,0.24595438,0.17674999,0.24595436,2
ARNAUD,0.16912764,0.26751983,0.16912761,0.26751983,4
ASHBURTON,0.1654555,0.25827032,0.16545549,0.25827032,3
ATOUI,0.17570834,0.32595366,0.17570834,0.3259536,2
ATRATO,0.17547408,0.33087003,0.17547409,0.3308701,1
ATREK,0.16556987,0.26968086,0.1655699,0.26968086,1
ATTAWAPISKAT,0.1830692,0.29905558,0.18306918,0.29905546,4
AZOPARDO,0.13567229,0.24344236,0.13567221,0.2434423,1
BACK,0.19207379,0.38875479,0.1920737,0.3887547,2
BAKER,0.15997066,0.27344546,0.15997066,0.27344537,2
"BALEINE, GRANDE RIVIERE DE LA",0.15646149,0.25491703,0.15646148,0.25491703,1
