Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto,FRI_improve,DRI_improve
ABHE BAD (also ABHE BID HAYK),0.19014113,0.383521,0.19014105,0.3835208,2,0.9999951615121431,0.9999979140690308
ACARAU,0.16416575,0.27197915,0.16416574,0.2719791,2,0.999993969545841,0.9999965070973945
AISEN,0.13529402,0.25445247,0.13529392,0.2544524,1,0.9999933478655368,0.9999963451068054
ALAKOL,0.17996867,0.29861066,0.17996871,0.29861063,1,0.999994221249787,0.9999967516335518
ALAZEYA,0.18503495,0.37380666,0.18503493,0.37380683,1,0.999994703731324,0.999996870049512
ALBANY,0.15750727,0.32218948,0.15750723,0.32218933,2,0.9999939050803885,0.9999973618078482
ALSEK,0.1817423,0.26627183,0.18174227,0.2662719,2,0.9999946628009938,0.9999959815662803
ALTAMAHA,0.19373237,0.25866544,0.19373238,0.25866538,5,0.9999947866495695,0.9999963659753542
AMACURO (also AMAKURA),0.14988719,0.24558622,0.1498872,0.24558622,3,0.9999932616443457,0.9999959281268789
AMAZON (also AMAZONAS),0.22654438,0.4849344,0.22654377,0.4849346,2,0.9999982784859698,0.9999975254446157
AMUR,0.3024036,0.39539456,0.3024034,0.39539415,1,0.9999973545358468,0.9999985078218588
ANABAR,0.32119015,0.42598382,0.32118988,0.4259833,1,0.9999977272081949,0.999998873197909
ANADYR,0.18855256,0.28025153,0.1885525,0.28025147,2,0.9999950146775318,0.9999966458814799
ANDERSON,0.1680908,0.29785368,0.16809078,0.29785365,3,0.9999941698517323,0.9999967433780201
ANGERMANALVEN,0.15741663,0.248259,0.15741655,0.24825893,1,0.9999941556706988,0.9999962539262781
APALACHICOLA,0.22315153,0.2951587,0.22315153,0.29515865,2,0.9999955187601951,0.9999967814028781
ARAGUARI,0.2514909,0.26235044,0.25149065,0.2623504,1,0.9999970177936327,0.9999963407856793
ARAL SEA,0.20347443,0.35823983,0.20347431,0.35823965,1,0.9999956751509558,0.9999977110358637
ARMERIA,0.17675,0.24595438,0.17674999,0.24595436,2,0.9999943988998308,0.9999960155371284
ARNAUD,0.16912764,0.26751983,0.16912761,0.26751983,4,0.9999942647196118,0.99999626197332
ASHBURTON,0.1654555,0.25827032,0.16545549,0.25827032,3,0.9999940165538383,0.999996128102803
ATOUI,0.17570834,0.32595366,0.17570834,0.3259536,2,0.9999943087829025,0.9999971161628031
ATRATO,0.17547408,0.33087003,0.17547409,0.3308701,1,0.9999942441972818,0.9999967661122413
ATREK,0.16556987,0.26968086,0.1655699,0.26968086,1,0.9999937791000714,0.9999962919270878
ATTAWAPISKAT,0.1830692,0.29905558,0.18306918,0.29905546,4,0.9999946468616571,0.9999970574118346
AZOPARDO,0.13567229,0.24344236,0.13567221,0.2434423,1,0.9999932190002728,0.9999961387312775
BACK,0.19207379,0.38875479,0.1920737,0.3887547,2,0.9999952622599435,0.999997659198309
BAKER,0.15997066,0.27344546,0.15997066,0.27344537,2,0.9999937488927726,0.999996672107953
"BALEINE, GRANDE RIVIERE DE LA",0.15646149,0.25491703,0.15646148,0.25491703,1,0.9999936726044482,0.9999960771703752
"BALEINE, RIVIERE DE LA",0.14413874,0.28673226,0.14413872,0.2867323,2,0.9999932010413228,0.9999963729361049
BANCANNIA LAKE,0.1530443,0.27061462,0.15304428,0.2706146,3,0.9999935966662937,0.9999963786271007
BANDAMA,0.18261054,0.33176357,0.18261056,0.3317635,2,0.9999944143733287,0.9999971968067712
BARAKA,0.17940727,0.26878405,0.17940727,0.268784,2,0.9999944261209364,0.9999964655765761
BENGAWAN SOLO,0.16544458,0.25442,0.16544455,0.25441998,1,0.9999941370438794,0.9999961481164015
BIA,0.1551023,0.24241498,0.1551023,0.24241495,2,0.999993552683921,0.9999959986131276
BIOBIO,0.17459318,0.27520108,0.1745932,0.275201,2,0.9999941578815332,0.9999966570010393
BLACKWOOD,0.14257087,0.2697112,0.14257088,0.2697112,2,0.9999929158540939,0.99999629234421
BRAHMANI,0.18709725,0.2690403,0.18709725,0.26904035,3,0.9999946552145731,0.9999960972541955
BRAHMAPUTRA,0.22412813,0.3055144,0.22412807,0.3055144,3,0.9999958059880407,0.999996726842575
BRANTAS,0.14778984,0.3774916,0.14778984,0.37749162,2,0.9999932336807883,0.999997297960421
BRAZOS,0.1794267,0.30824032,0.17942666,0.30824035,2,0.999994649654351,0.9999966584625977
BULLER,0.14609705,0.25318015,0.14609703,0.2531801,3,0.9999932921751239,0.9999962477451911
BULUNGAN,0.16803542,0.25125903,0.16803539,0.25125903,1,0.9999942274408536,0.9999960200593785
BURDEKIN,0.18467182,0.41194698,0.1846717,0.4119471,1,0.9999952348127253,0.9999972812109099
BUZI (also BUDZI),0.17017831,0.26519632,0.17017828,0.26519626,1,0.9999943001286644,0.9999964554686576
CANCOSA,0.16031776,0.27355728,0.16031772,0.27355722,2,0.999994011928239,0.9999965638027621
CANDELARIA,0.15816575,0.33778518,0.15816572,0.33778518,1,0.9999938672307296,0.9999970395473256
CANETE,0.14184521,0.24272612,0.14184518,0.24272609,2,0.999993161606467,0.9999960037423099
CANIAPISCAU,0.22148599,0.27382213,0.22148588,0.273822,2,0.9999959817032955,0.999996822765071
CAPE FEAR,0.18204333,0.30866614,0.18204331,0.3086661,3,0.999994616695243,0.9999968898531784
CAPIM,0.17716901,0.6371793,0.17716904,0.63717914,3,0.9999941863759809,0.9999986816914915
CATATUMBO,0.15367696,0.2603044,0.15367693,0.2603044,1,0.9999936880982195,0.999996158358605
CAUVERY,0.16739988,0.2685858,0.16739993,0.2685858,3,0.9999937276334128,0.9999962768088381
CAVALLY,0.18064943,0.3110385,0.18064936,0.31103837,2,0.9999948519338682,0.9999972029264335
CESTOS (also NUON),0.1435444,0.24917832,0.14354438,0.24917832,1,0.9999931728906913,0.999995986825873
CHAD,0.33434144,0.8273564,0.3343412,0.8273534,2,0.9999977268798256,1.0000024173437645
CHANGUINOLA,0.15626143,0.24840373,0.15626141,0.2484037,2,0.9999937284981079,0.9999960950819368
CHAO PHRAYA,0.17044899,0.31560075,0.17044893,0.3156007,2,0.9999944851840068,0.9999969898767972
CHELIF,0.19507167,0.37402633,0.19507164,0.37402627,2,0.9999950274933481,0.9999974868142637
CHERGUI,0.17675345,0.2801123,0.17675345,0.2801123,1,0.9999943424338115,0.9999964300159971
CHEW BAHIR (also LAKE STEFANIE),0.1594119,0.29370192,0.15941194,0.29370195,1,0.999993476062859,0.9999964930553134
CHICO,0.1806532,0.27174258,0.18065314,0.27174255,1,0.9999947966871948,0.9999964304580551
"CHILOANGO (also SHILOANGO, also LOUANGO)",0.14502731,0.264427,0.1450274,0.264427,1,0.9999924842306748,0.9999962182522275
CHIRA,0.14384396,0.24835582,0.14384395,0.2483558,2,0.99999311758946,0.9999960540641529
CHOLUTECA,0.16236492,0.2861473,0.16236487,0.28614724,1,0.9999941490166622,0.9999967149894055
CHUBUT,0.23776247,0.45227352,0.23776264,0.4522736,1,0.9999950791466685,0.9999976120701892
CHURCHILL,0.20611313,0.34278426,0.20611311,0.34278408,2,0.9999952453521984,0.9999976078305393
CHUY (also SHU),0.16787536,0.35874254,0.16787533,0.3587426,1,0.9999942219370653,0.9999970452434552
CISNES,0.124611214,0.2541319,0.12461117,0.25413185,1,0.9999923281971577,0.9999962617977174
CLUTHA,0.20800388,0.27438337,0.20800388,0.27438337,2,0.9999951924204855,0.999996355477537
COCO,0.14322239,0.29445145,0.14322247,0.29445142,1,0.9999924593364482,0.9999967057496081
COIG,0.15689021,0.2565285,0.15689021,0.25652847,2,0.9999936261566215,0.9999962187580242
COLORADO (also COLORADO RIVER),0.27857324,0.5707416,0.2785729,0.570742,3,0.99999763079025,0.9999975470570817
COLORADO,0.22963163,0.3557214,0.22963168,0.3557213,2,0.9999954274800956,0.9999974699365208
COLUMBIA,0.32509524,0.59561825,0.32509544,0.59561825,2,0.9999963087876325,0.9999983210750827
COLVILLE,0.16181484,0.27725554,0.16181481,0.27725548,1,0.9999940055301146,0.9999966096374017
COMOE (also KOMOE),0.1889174,0.33273783,0.18891737,0.33273774,2,0.9999948655072559,0.9999972651215787
