Basin,Pearson_Degree,Spearman_Degree,Pearson_Betweenness,Spearman_Betweenness,Pearson_EdgeBetweenness,Spearman_EdgeBetweenness
ABHE BAD (also ABHE BID HAYK),0.6339186696365771,0.6408402118846837,0.4862128880168273,0.6400584422079766,-0.1396074226040705,-0.16232171050149058
ACARAU,0.07413264990387175,0.1224132957852822,-0.0293729699017729,0.05874093012158987,0.16988712790808308,0.08496617760555311
AISEN,0.2945661050634286,0.4162052056699595,0.1667792749638027,0.3776017487197033,-0.5579152086664224,-0.43097077760583236
ALAKOL,-0.035753737486546915,0.6413018898054815,-0.05250364539645998,0.6054082466548598,-0.09573266027401493,-0.10376522541068073
ALAZEYA,0.17775610080268964,0.7428161595636414,0.09862689504619739,0.7582377081859207,-0.07242237134327267,-0.08909232608830556
ALBANY,0.574066791409308,0.5846792629264442,0.3504668585534955,0.521274172229695,-0.08337019453089511,-0.08419619641929056
ALSEK,0.24837596342411025,0.6409357916180506,0.2910676151174566,0.6213614532707998,-0.09085425650459976,-0.18774293965389088
ALTAMAHA,-0.1013139761781576,0.4575435136199557,-0.1543262196263889,0.39381067570903455,-0.019763830220707455,0.09689893782575834
AMACURO (also AMAKURA),-0.08793725906528553,0.2581988897471611,-0.08793725906528553,0.2581988897471611,0.49991487110815175,0.0
AMAZON (also AMAZONAS),0.659612745372598,0.6809379643785676,0.19396503582886665,0.6294968048150711,0.019432209633956223,0.004880410138080199
AMUR,0.6642009200509043,0.6918779430359407,0.2495487543045295,0.6426591916294607,-0.014449589681552603,-0.023024600610925452
ANABAR,0.595997873991093,0.607209440776017,0.3308319552443148,0.5325494672522746,0.20280371249257342,0.26660637384155267
ANADYR,0.6104414243466695,0.6345996792307737,0.34355275148451314,0.5657099355331016,0.0771694914023312,0.12038911902909337
ANDERSON,0.1625050926224814,0.6059473308031021,0.23250986910814503,0.5892368680128759,0.11789122533152858,0.08087320413852672
ANGERMANALVEN,0.028845073612490585,0.43099711592061557,-0.0833469887337824,0.42094745093496766,-0.11459203349386743,0.10206207261596575
APALACHICOLA,0.1387558514339752,0.5704322691522521,-0.04229840841067357,0.45084029808141657,-0.07715000750183187,0.05094267081084934
ARAGUARI,0.0027942569304270372,0.5436514114455736,0.0521946689155651,0.5222442493764509,0.04446458038875098,0.23235691831300292
ARAL SEA,0.6305043749126445,0.6585924786949067,0.28499739111851463,0.6522673977565456,-0.04474095162470943,-0.015097749540044829
ARMERIA,0.38803549446968755,0.50709255283711,0.428649445961687,0.5773502691896258,-0.6458233668057962,-0.6123724356957946
ARNAUD,0.1577396802208518,0.5529554311520792,0.10338241180558999,0.5253517706389288,0.05717031017526324,-0.20697519030101288
ASHBURTON,-0.1391024433084846,0.5207369116794817,-0.09110017049236291,0.49960167462811933,-0.10136206156435272,0.053789334448523164
ATOUI,0.10362050877538623,0.41033455442213823,0.015532803509422334,0.34158258737122826,0.19045611658388864,0.3468045808301881
ATRATO,0.15913774887143822,0.5052494723860175,0.24312899818459546,0.4943382492405086,-0.16797615873442967,-0.3326233233270169
ATREK,0.042547395795061636,0.4900896960322166,0.12709246434698934,0.46740925776151254,0.25711260813680914,0.2152447582077324
ATTAWAPISKAT,0.003014124844445042,0.5808766513251794,-0.16011599690214334,0.5216007907874448,0.018740695146826403,-0.09650885226368904
AZOPARDO,-0.17404411058223881,-0.2581988897471611,-0.17404411058223881,-0.2581988897471611,-0.5171649341095554,-0.8660254037844387
BACK,-0.05063649592515875,0.7493370725018127,-0.06872726459421007,0.7295726208500967,-0.07594939175533581,0.1666002275420916
BAKER,-0.08361020802237128,0.143775990665772,-0.25811499674437727,0.0696578797465768,-0.18061681911361235,-0.03245901751001191
"BALEINE, GRANDE RIVIERE DE LA",0.143015138405555,0.4865062298556018,0.06959811219025958,0.43874766281349453,-0.03449941148627635,-0.21231200805683664
"BALEINE, RIVIERE DE LA",0.1985510623980823,0.43883133923761897,0.18183513380726662,0.4248625893819899,0.09259747905315746,0.17717220635268577
BANCANNIA LAKE,0.6266887389267121,0.673079988704147,0.43812853550433206,0.6389306938437387,-0.040405144454711286,-0.18964557548017869
