Epoch,Loss,R2_FRI,R2_DRI
1,0.069014,-1.069958,-1.745668
2,0.039975,-0.137152,-0.359074
3,0.036471,-0.064545,-0.181946
4,0.034392,-0.041087,-0.096867
5,0.033518,-0.019328,-0.052791
6,0.032989,-0.007228,-0.041071
7,0.032732,-0.002405,-0.023478
8,0.032491,-0.002071,-0.022018
9,0.032447,0.001504,-0.023162
10,0.032347,0.001378,-0.021502
11,0.032349,0.000471,-0.016829
12,0.032329,-0.001779,-0.018986
13,0.032285,0.001526,-0.019376
14,0.032308,0.001701,-0.020462
15,0.032332,-0.001245,-0.019083
16,0.032317,-6.1e-05,-0.019181
17,0.032336,0.003682,-0.019083
18,0.032291,0.001832,-0.022483
19,0.032298,0.001756,-0.02093
20,0.032357,0.002795,-0.021872
21,0.032305,0.002898,-0.019659
22,0.032257,0.000457,-0.020235
23,0.032322,-0.001478,-0.019859
24,0.032262,0.004078,-0.021826
25,0.032275,0.003701,-0.018846
26,0.032224,0.002736,-0.021205
27,0.032261,0.000948,-0.020354
28,0.032244,0.000832,-0.021603
29,0.032307,0.00022,-0.016823
30,0.032249,0.002969,-0.023073
31,0.032283,0.001284,-0.01938
32,0.032249,-0.004927,-0.020836
33,0.03225,0.002134,-0.018838
34,0.032275,0.002265,-0.037056
35,0.032221,0.000691,-0.020756
