Epoch,Loss,R2_FRI,R2_DRI
1,0.052753,-0.585508,-0.928538
2,0.04209,-0.230523,-0.400861
3,0.038333,-0.139133,-0.275112
4,0.036696,-0.098158,-0.19076
5,0.035267,-0.067311,-0.15672
6,0.034859,-0.053018,-0.122903
7,0.03431,-0.046857,-0.108084
8,0.033806,-0.033013,-0.089918
9,0.033449,-0.027651,-0.082686
10,0.033322,-0.025228,-0.071238
11,0.033093,-0.019599,-0.063769
12,0.033036,-0.016242,-0.057886
13,0.03298,-0.014708,-0.048001
14,0.032708,-0.016951,-0.048846
15,0.032739,-0.011786,-0.040264
16,0.032496,-0.010669,-0.043435
17,0.032401,-0.013314,-0.03822
18,0.032397,-0.00774,-0.038414
19,0.032365,-0.006001,-0.032758
20,0.032289,-0.004196,-0.031281
21,0.032177,-0.00068,-0.024387
22,0.032104,0.001203,-0.02612
23,0.032048,0.001782,-0.022836
24,0.031993,0.000703,-0.025473
25,0.031927,-0.000184,-0.026899
26,0.031904,0.001814,-0.020439
27,0.031867,0.002315,-0.019928
28,0.031798,0.003969,-0.020647
29,0.031871,0.0051,-0.017208
30,0.0317,0.006228,-0.01461
31,0.031687,0.005273,-0.015577
32,0.031652,0.005252,-0.012984
33,0.031665,0.002962,-0.014334
34,0.031677,0.009012,-0.010149
35,0.031616,0.005991,-0.01869
36,0.03159,0.008389,-0.013636
37,0.031519,0.005956,-0.012037
38,0.031535,0.005446,-0.012872
39,0.031469,0.008165,-0.012669
40,0.031399,0.005523,-0.012502
41,0.031341,0.012782,-0.012544
42,0.031469,0.007539,-0.011265
43,0.031376,0.007285,-0.011382
44,0.031245,0.011242,-0.008292
45,0.031329,0.010564,-0.009323
46,0.03135,0.010653,-0.013925
47,0.031273,0.009585,-0.012059
48,0.03121,0.008259,-0.006644
49,0.031203,0.010393,-0.008291
50,0.031179,0.011774,-0.010372
51,0.031163,0.013137,-0.011249
52,0.031053,0.011198,-0.010337
53,0.031225,0.010269,-0.001185
54,0.031083,0.009808,-0.004466
55,0.031097,0.009795,-0.005916
56,0.03109,0.014565,-0.003158
57,0.031023,0.015552,-0.003531
58,0.031018,0.014147,-0.008277
59,0.031013,0.013042,-0.004716
60,0.030992,0.011856,-0.006577
61,0.030959,0.012043,-0.002936
62,0.030923,0.013659,-0.007608
63,0.030866,0.016265,-0.01116
64,0.030988,0.015087,-0.006452
65,0.030987,0.014368,-0.005647
66,0.03083,0.015829,-0.004432
67,0.030821,0.017075,-0.009764
