Epoch,Loss,R2_FRI,R2_DRI
1,0.065826,-1.317777,-1.757878
2,0.043337,-0.298746,-0.340614
3,0.041576,-0.25802,-0.266129
4,0.040923,-0.277807,-0.243691
5,0.03982,-0.2185,-0.215209
6,0.039229,-0.209982,-0.209159
7,0.0387,-0.200938,-0.187593
8,0.03855,-0.179209,-0.193523
9,0.0381,-0.175592,-0.187123
10,0.037865,-0.168556,-0.189518
11,0.037579,-0.165398,-0.194642
12,0.037163,-0.145701,-0.170169
13,0.036849,-0.166862,-0.173514
14,0.036595,-0.140122,-0.166143
15,0.036302,-0.139166,-0.1688
16,0.03625,-0.139522,-0.183282
17,0.035639,-0.124768,-0.157814
18,0.035804,-0.150775,-0.172903
19,0.035772,-0.123873,-0.143047
20,0.035362,-0.132398,-0.155203
21,0.035304,-0.12714,-0.145472
22,0.034111,-0.111676,-0.13651
23,0.034493,-0.11994,-0.14078
24,0.033557,-0.106957,-0.123942
25,0.035305,-0.120215,-0.134848
26,0.035681,-0.099265,-0.152653
27,0.033917,-0.094397,-0.113086
28,0.033041,-0.109873,-0.112049
29,0.032516,-0.104126,-0.090277
30,0.032012,-0.075694,-0.083026
31,0.031455,-0.084115,-0.076729
32,0.03221,-0.114588,-0.071742
33,0.031376,-0.074894,-0.072389
34,0.031341,-0.083522,-0.100153
35,0.029574,-0.058887,-0.020905
36,0.029799,-0.087026,-0.050174
37,0.028716,-0.077601,-0.02686
38,0.028807,-0.057037,-0.010835
39,0.028522,-0.052523,-0.018058
40,0.027283,-0.054159,0.02522
41,0.027077,-0.009105,0.007839
42,0.027258,-0.015355,-0.037094
43,0.025962,0.006355,0.04005
44,0.025976,-0.02374,0.014215
45,0.025266,-0.002157,0.038079
46,0.024916,0.013811,0.038653
47,0.023592,0.039061,0.063064
48,0.023675,0.064319,0.031363
49,0.023316,-0.001105,0.111981
50,0.023855,0.071357,0.054007
51,0.021905,0.108784,0.070455
52,0.021337,0.098081,0.125353
53,0.021743,0.139056,0.085273
54,0.022012,0.129807,0.1281
55,0.020334,0.160515,0.160815
56,0.019653,0.142943,0.170601
57,0.01982,0.151298,0.159097
58,0.019858,0.176144,0.143024
59,0.019208,0.156017,0.176826
60,0.018158,0.202786,0.177535
61,0.018099,0.20277,0.204942
62,0.017703,0.237498,0.220617
63,0.017733,0.232546,0.210379
64,0.017721,0.213459,0.226991
65,0.017504,0.219886,0.224237
66,0.016216,0.239096,0.258544
67,0.01624,0.225484,0.2333
68,0.016604,0.24351,0.28757
69,0.016395,0.242327,0.268402
70,0.016656,0.264258,0.240082
71,0.015566,0.278455,0.301744
72,0.016185,0.254383,0.282387
73,0.01557,0.27067,0.297182
74,0.015657,0.253771,0.29784
75,0.015627,0.2585,0.27892
76,0.014865,0.286375,0.288284
77,0.015164,0.258106,0.291023
78,0.014972,0.283129,0.330689
79,0.01503,0.310759,0.294959
80,0.014483,0.297078,0.344541
81,0.014006,0.311992,0.325169
82,0.013888,0.322406,0.329828
83,0.014018,0.328433,0.315108
84,0.013275,0.327616,0.346404
85,0.013862,0.292294,0.354539
86,0.01369,0.347152,0.349728
87,0.014656,0.327683,0.343316
88,0.013847,0.321371,0.330562
89,0.012714,0.347785,0.375264
90,0.012291,0.343001,0.387706
91,0.012739,0.353929,0.371646
92,0.012929,0.356523,0.377262
93,0.01238,0.347222,0.393733
94,0.012694,0.320621,0.393647
95,0.0124,0.366813,0.392134
96,0.013098,0.367377,0.365665
97,0.012085,0.367484,0.378947
98,0.011755,0.375349,0.411536
99,0.011647,0.350482,0.399925
100,0.011862,0.390751,0.409002
