Model,Best avg R²,Best R² (DRI),Best R² (FRI),Min Loss
GIN_hd256_lr0.0005,0.413,0.4146,0.422,0.0118
GIN_hd512_lr0.0001,0.4003,0.4098,0.3962,0.0108
GIN_hd512_lr0.0005,0.3999,0.4115,0.3908,0.0116
GIN_hd128_lr0.0005,0.3476,0.3685,0.3504,0.0149
GIN_hd128_lr0.001,0.3237,0.308,0.3394,0.0159
GIN_hd256_lr0.0001,0.3074,0.3239,0.2969,0.0149
GIN_hd256_lr0.001,0.2968,0.3715,0.2221,0.014
GIN_hd512_lr0.001,0.2272,0.3294,0.1339,0.0153
GIN_hd128_lr0.0001,0.1618,0.1858,0.1443,0.0218
GCN_hd256_lr0.0005,0.0078,-0.005,0.0265,0.0297
GCN_hd128_lr0.0005,0.006,-0.0012,0.0171,0.0308
GCN_hd512_lr0.0005,0.0008,-0.0121,0.0188,0.0297
GCN_hd256_lr0.001,-0.0001,-0.0084,0.0106,0.031
GAT_hd256_lr0.0001,-0.0002,-0.0084,0.0085,0.0317
GCN_hd128_lr0.001,-0.0006,-0.0067,0.0083,0.0315
GAT_hd512_lr0.0001,-0.0027,-0.011,0.0075,0.0317
GAT_hd128_lr0.0001,-0.0033,-0.0093,0.0047,0.032
GCN_hd512_lr0.001,-0.0053,-0.0155,0.0072,0.0308
GCN_hd256_lr0.0001,-0.0053,-0.0229,0.0123,0.0313
GAT_hd512_lr0.0005,-0.0068,-0.0168,0.0033,0.0323
GAT_hd128_lr0.0005,-0.0068,-0.0151,0.0043,0.0321
GCN_hd512_lr0.0001,-0.0071,-0.0252,0.0126,0.0308
GAT_hd128_lr0.001,-0.0076,-0.0168,0.0041,0.0322
GCN_hd128_lr0.0001,-0.0087,-0.0194,0.0032,0.0315
GAT_hd256_lr0.0005,-0.0088,-0.0162,0.0025,0.0322
GAT_hd256_lr0.001,-0.0091,-0.0189,0.0043,0.0323
GAT_hd512_lr0.001,-0.01,-0.022,0.0025,0.0323
