RIVER_BASIN,NodeCount,FRI_mean,FRI_max,DRI_mean,DRI_max,FRI_sum,DRI_sum,EdgeCount,TotalLength,AvgDegree,FRI_Improve,DRI_Improve,Total_Improve
ABHE BAD (also ABHE BID HAYK),116,0.16561755094090075,0.900298953056335,0.15626993500020198,0.212273791432381,15.236814686562868,14.376834020018583,109,3951832.6787109375,1.8793103448275863,,,0.0
PARAIBA DO SUL,42,0.059740123321087316,0.101427584886551,0.21234745131089114,0.215784475207329,2.3298648095224053,8.281550601124755,41,2253710.1750793457,1.9523809523809523,,,0.0
PINDARE,36,0.09651826746347875,0.144553661346435,0.20204877439472405,0.25204473733902,3.474657628685235,7.273755878210066,35,1300545.8248901367,1.9444444444444444,,,0.0
PERAK,16,0.15052695709164252,0.190862253308296,0.17005392443388687,0.212488204240799,2.4084313134662803,2.72086279094219,15,508791.49072265625,1.875,,,0.0
PENOBSCOT,20,0.05553243905305862,0.0706389769911766,0.22978813797235484,0.235496670007706,1.1106487810611725,4.595762759447097,19,739045.5409851074,1.9,,,0.0
PENNER,44,0.12447038119037948,0.409786999225617,0.11985250484819217,0.211859598755836,3.7341114357113843,3.595575145445765,43,1792725.458984375,1.9545454545454546,,,0.0
PEE DEE,30,0.443512436064581,1.0,0.2052826444307967,0.210662111639977,13.30537308193743,6.158479332923901,29,1486881.7124023438,1.9333333333333333,,,0.0
PECHORA,314,0.10050782360709631,0.172633036971092,0.2334568998656976,0.246278360486031,31.35844096541405,72.83855275809765,313,10838038.90713501,1.9936305732484076,,,0.0
PEARL,14,0.27702727913856506,0.321881353855133,0.14969963899680544,0.190983146429062,3.878381907939911,2.095794945955276,13,802672.7861328125,1.8571428571428572,,,0.0
PAZ,2,0.1219920925796035,0.125571042299271,0.7291279733181,0.750524401664734,0.243984185159207,1.4582559466362,1,63943.3828125,1.0,,,0.0
