Epoch,Loss,R2_FRI,R2_DRI
1,8488872.04672,-339161304.369217,-1103346548.88871
2,147957.32238,-5425666.911441,-6027475.631808
3,114768.37766,-2296172.86785,-3749068.365738
4,11671.362123,-398765.99381,-539464.374029
5,6869.911382,-204687.172434,-244947.132826
6,4594.274628,-115344.494128,-171586.920973
7,3152.556081,-89485.907767,-106096.927091
8,1555.327505,-56440.917908,-105469.450029
9,4934.94011,-140116.519483,-105801.177533
10,2540.233095,-131399.765242,-121975.582002
11,1159.027478,-37334.322731,-33408.868936
12,68770.507926,-415063.541301,-2683515.438873
13,7919.406976,-545302.208269,-79189.425361
14,117288.813609,-4731264.226042,-3216071.533195
15,5573.945459,-256574.675011,-202845.482932
16,179082.64708,-11917061.949603,-6146989.204891
17,13138.93573,-752708.248402,-333193.50573
18,344.304377,-19542.037161,-15710.034272
19,186.144256,-4641.287187,-8296.246892
20,270.304464,-4457.040851,-5938.451564
21,228.029678,-12002.536535,-5882.776166
22,167.524288,-18416.750674,-23865.357557
23,268.965271,-11300.14033,-8630.200522
24,4795.481583,-170850.68989,-70535.426193
25,214.248745,-5039.726152,-15239.554751
26,818801.755255,-7932960.029328,-37411377.837746
27,9163.065143,-617380.624244,-41059.11285
28,534.571363,-9723.997029,-5323.063712
29,204.109343,-4986.75284,-4367.187969
30,286.538206,-3892.094511,-5732.294689
31,79.842701,-1425.375689,-9407.214636
32,2007.468833,-78782.865655,-9167.369907
33,76374.417999,-8291563.72985,-10984.847911
34,1097.048088,-58574.388917,-29672.104386
35,89.060896,-5915.280402,-2432.092239
36,5404.898407,-577171.300224,-10421.563689
37,185.613485,-7582.567173,-6188.652173
38,709.334907,-66184.005566,-1899.021932
39,76.517284,-3257.298257,-2039.950744
40,178599.304611,-4021793.257475,-5630503.579333
41,2025384.685623,-27730920.419336,-167631869.101371
42,3982.805749,-65931.161012,-318723.329882
43,311.865885,-8636.570328,-16014.862027
44,122.294431,-6002.188747,-6249.454569
45,80.127214,-2012.024457,-3241.654832
46,79.689568,-2322.314412,-2740.862415
47,233.373993,-8596.223988,-3529.820764
48,83.341699,-1674.67814,-11318.287994
49,44.823024,-1098.303023,-1788.340196
50,35.633842,-999.537599,-1744.538008
51,38.559375,-1948.346408,-2043.396038
52,9751.584316,-482991.010324,-9072.809944
53,88.229545,-5011.218379,-2319.288954
54,402080.491811,-37663621.390024,-3830443.282055
55,865.681341,-64540.342569,-16771.835901
56,93.46404,-4559.718364,-3940.708826
57,60.078858,-2543.691963,-1495.026668
58,103.957895,-3828.34387,-1933.346815
59,44.952306,-1828.080135,-1480.884068
60,84.219022,-2337.736647,-1159.602435
